Add component: Footprint Not Found RPI-PICO-MOD
Added Pin To Net: NetName=GND Pin=ESPHR-16
Added Pin To Net: NetName=GND Pin=ESPHR-25
Added Pin To Net: NetName=GND Pin=ESPHR-26
Added Pin To Net: NetName=GND Pin=ESPHR-35
Added Pin To Net: NetName=GND Pin=ESPHR-36
Added Pin To Net: NetName=GND Pin=HallEffect1-2
Added Pin To Net: NetName=GND Pin=HallEffect2-2
Added Pin To Net: NetName=GND Pin=HallEffect3-2
Added Pin To Net: NetName=GND Pin=LCD_Header-2
Added Pin To Net: NetName=GND Pin=LED_Header-3
Added Pin To Net: NetName=GND Pin=PIHL-5
Added Pin To Net: NetName=GND Pin=PIHL-6
Added Pin To Net: NetName=GND Pin=PIHL-15
Added Pin To Net: NetName=GND Pin=PIHL-16
Added Pin To Net: NetName=GND Pin=PIHL-25
Added Pin To Net: NetName=GND Pin=PIHL-26
Added Pin To Net: NetName=GND Pin=PIHL-35
Added Pin To Net: NetName=GND Pin=PIHL-36
Added Pin To Net: NetName=GND Pin=PIHR-5
Added Pin To Net: NetName=GND Pin=PIHR-6
Added Pin To Net: NetName=GND Pin=PIHR-15
Added Pin To Net: NetName=GND Pin=PIHR-16
Added Pin To Net: NetName=GND Pin=PIHR-25
Added Pin To Net: NetName=GND Pin=PIHR-26
Added Pin To Net: NetName=GND Pin=PIHR-35
Added Pin To Net: NetName=GND Pin=PIHR-36
Added Pin To Net: NetName=GND Pin=PIM1-7
Added Pin To Net: NetName=GND Pin=PIM1-8
Added Pin To Net: NetName=GND Pin=PIM2-7
Added Pin To Net: NetName=GND Pin=PIM2-8
Added Pin To Net: NetName=GND Pin=PIM3-7
Added Pin To Net: NetName=GND Pin=PIM3-8
Added Pin To Net: NetName=GND Pin=PIM4-7
Added Pin To Net: NetName=GND Pin=PIM4-8
Added Pin To Net: NetName=GND Pin=PWR Terminal-1
Added Pin To Net: NetName=GND Pin=R2-2
Added Pin To Net: NetName=GND Pin=R2.2k_1-2
Added Pin To Net: NetName=GND Pin=R2.2k_2-2
Added Pin To Net: NetName=GND Pin=R2.2k_3-2
Added Pin To Net: NetName=GND Pin=R2.2k_4-2
Added Pin To Net: NetName=GND Pin=RE1-2
Added Pin To Net: NetName=GND Pin=RE2-2
Added Pin To Net: NetName=GND Pin=RE3-2
Added Pin To Net: NetName=GND Pin=RE4-2
Added Pin To Net: NetName=GND Pin=TR1-3
Added Pin To Net: NetName=GND Pin=TR2-3
Added Pin To Net: NetName=GND Pin=TR3-3
Added Pin To Net: NetName=GND Pin=TR4-3
Added Pin To Net: NetName=GND Pin=DRV1-3
Added Pin To Net: NetName=GND Pin=DRV2-3
Added Pin To Net: NetName=GND Pin=DRV3-3
Added Pin To Net: NetName=GND Pin=DRV4-3
Added Net: Name=GND
Added Pin To Net: NetName=Net3V3Reg_1 Pin=3V3Reg-1
Added Pin To Net: NetName=Net3V3Reg_1 Pin=R1-2
Added Pin To Net: NetName=Net3V3Reg_1 Pin=R2-1
Added Net: Name=Net3V3Reg_1
Added Pin To Net: NetName=NetAudioModule_1 Pin=AudioModule-1
Added Pin To Net: NetName=NetAudioModule_1 Pin=ESPHL-17
Added Pin To Net: NetName=NetAudioModule_1 Pin=ESPHL-18
Added Net: Name=NetAudioModule_1
Added Pin To Net: NetName=NetAudioModule_2 Pin=AudioModule-2
Added Pin To Net: NetName=NetAudioModule_2 Pin=ESPHL-13
Added Pin To Net: NetName=NetAudioModule_2 Pin=ESPHL-14
Added Net: Name=NetAudioModule_2
Added Pin To Net: NetName=NetAudioModule_3 Pin=AudioModule-3
Added Pin To Net: NetName=NetAudioModule_3 Pin=ESPHL-19
Added Pin To Net: NetName=NetAudioModule_3 Pin=ESPHL-20
Added Net: Name=NetAudioModule_3
Added Pin To Net: NetName=NetBTN_1 Pin=BTN-1
Added Pin To Net: NetName=NetBTN_1 Pin=ESPHL-39
Added Pin To Net: NetName=NetBTN_1 Pin=ESPHL-40
Added Net: Name=NetBTN_1
Added Pin To Net: NetName=NetBTN_2 Pin=BTN-2
Added Pin To Net: NetName=NetBTN_2 Pin=ESPHL-37
Added Pin To Net: NetName=NetBTN_2 Pin=ESPHL-38
Added Net: Name=NetBTN_2
Added Pin To Net: NetName=NetBTN_3 Pin=BTN-3
Added Pin To Net: NetName=NetBTN_3 Pin=ESPHL-33
Added Pin To Net: NetName=NetBTN_3 Pin=ESPHL-34
Added Net: Name=NetBTN_3
Added Pin To Net: NetName=NetBTN_4 Pin=BTN-4
Added Pin To Net: NetName=NetBTN_4 Pin=ESPHL-31
Added Pin To Net: NetName=NetBTN_4 Pin=ESPHL-32
Added Net: Name=NetBTN_4
Added Pin To Net: NetName=NetBTN_5 Pin=BTN-5
Added Pin To Net: NetName=NetBTN_5 Pin=ESPHL-29
Added Pin To Net: NetName=NetBTN_5 Pin=ESPHL-30
Added Net: Name=NetBTN_5
Added Pin To Net: NetName=NetDRV1_IN1 Pin=PIHR-21
Added Pin To Net: NetName=NetDRV1_IN1 Pin=PIHR-22
Added Pin To Net: NetName=NetDRV1_IN1 Pin=DRV1-6
Added Net: Name=NetDRV1_IN1
Added Pin To Net: NetName=NetDRV1_IN2 Pin=PIHR-23
Added Pin To Net: NetName=NetDRV1_IN2 Pin=PIHR-24
Added Pin To Net: NetName=NetDRV1_IN2 Pin=DRV1-5
Added Net: Name=NetDRV1_IN2
Added Pin To Net: NetName=NetDRV1_IN3 Pin=PIHR-27
Added Pin To Net: NetName=NetDRV1_IN3 Pin=PIHR-28
Added Pin To Net: NetName=NetDRV1_IN3 Pin=DRV1-2
Added Net: Name=NetDRV1_IN3
Added Pin To Net: NetName=NetDRV1_IN4 Pin=PIHR-29
Added Pin To Net: NetName=NetDRV1_IN4 Pin=PIHR-30
Added Pin To Net: NetName=NetDRV1_IN4 Pin=DRV1-1
Added Net: Name=NetDRV1_IN4
Added Pin To Net: NetName=NetDRV1_OUT1 Pin=STP1-2
Added Pin To Net: NetName=NetDRV1_OUT1 Pin=DRV1-11
Added Net: Name=NetDRV1_OUT1
Added Pin To Net: NetName=NetDRV1_OUT2 Pin=STP1-4
Added Pin To Net: NetName=NetDRV1_OUT2 Pin=DRV1-10
Added Net: Name=NetDRV1_OUT2
Added Pin To Net: NetName=NetDRV1_OUT3 Pin=STP1-3
Added Pin To Net: NetName=NetDRV1_OUT3 Pin=DRV1-9
Added Net: Name=NetDRV1_OUT3
Added Pin To Net: NetName=NetDRV1_OUT4 Pin=STP1-5
Added Pin To Net: NetName=NetDRV1_OUT4 Pin=DRV1-8
Added Net: Name=NetDRV1_OUT4
Added Pin To Net: NetName=NetDRV2_IN1 Pin=PIHR-1
Added Pin To Net: NetName=NetDRV2_IN1 Pin=PIHR-2
Added Pin To Net: NetName=NetDRV2_IN1 Pin=DRV2-6
Added Net: Name=NetDRV2_IN1
Added Pin To Net: NetName=NetDRV2_IN2 Pin=PIHR-3
Added Pin To Net: NetName=NetDRV2_IN2 Pin=PIHR-4
Added Pin To Net: NetName=NetDRV2_IN2 Pin=DRV2-5
Added Net: Name=NetDRV2_IN2
Added Pin To Net: NetName=NetDRV2_IN3 Pin=PIHR-7
Added Pin To Net: NetName=NetDRV2_IN3 Pin=PIHR-8
Added Pin To Net: NetName=NetDRV2_IN3 Pin=DRV2-2
Added Net: Name=NetDRV2_IN3
Added Pin To Net: NetName=NetDRV2_IN4 Pin=PIHR-9
Added Pin To Net: NetName=NetDRV2_IN4 Pin=PIHR-10
Added Pin To Net: NetName=NetDRV2_IN4 Pin=DRV2-1
Added Net: Name=NetDRV2_IN4
Added Pin To Net: NetName=NetDRV2_OUT1 Pin=STP2-2
Added Pin To Net: NetName=NetDRV2_OUT1 Pin=DRV2-11
Added Net: Name=NetDRV2_OUT1
Added Pin To Net: NetName=NetDRV2_OUT2 Pin=STP2-4
Added Pin To Net: NetName=NetDRV2_OUT2 Pin=DRV2-10
Added Net: Name=NetDRV2_OUT2
Added Pin To Net: NetName=NetDRV2_OUT3 Pin=STP2-3
Added Pin To Net: NetName=NetDRV2_OUT3 Pin=DRV2-9
Added Net: Name=NetDRV2_OUT3
Added Pin To Net: NetName=NetDRV2_OUT4 Pin=STP2-5
Added Pin To Net: NetName=NetDRV2_OUT4 Pin=DRV2-8
Added Net: Name=NetDRV2_OUT4
Added Pin To Net: NetName=NetDRV3_IN1 Pin=PIHR-31
Added Pin To Net: NetName=NetDRV3_IN1 Pin=PIHR-32
Added Pin To Net: NetName=NetDRV3_IN1 Pin=DRV3-6
Added Net: Name=NetDRV3_IN1
Added Pin To Net: NetName=NetDRV3_IN2 Pin=PIHR-33
Added Pin To Net: NetName=NetDRV3_IN2 Pin=PIHR-34
Added Pin To Net: NetName=NetDRV3_IN2 Pin=DRV3-5
Added Net: Name=NetDRV3_IN2
Added Pin To Net: NetName=NetDRV3_IN3 Pin=PIHR-37
Added Pin To Net: NetName=NetDRV3_IN3 Pin=PIHR-38
Added Pin To Net: NetName=NetDRV3_IN3 Pin=DRV3-2
Added Net: Name=NetDRV3_IN3
Added Pin To Net: NetName=NetDRV3_IN4 Pin=PIHR-39
Added Pin To Net: NetName=NetDRV3_IN4 Pin=PIHR-40
Added Pin To Net: NetName=NetDRV3_IN4 Pin=DRV3-1
Added Net: Name=NetDRV3_IN4
Added Pin To Net: NetName=NetDRV3_OUT1 Pin=STP3-2
Added Pin To Net: NetName=NetDRV3_OUT1 Pin=DRV3-11
Added Net: Name=NetDRV3_OUT1
Added Pin To Net: NetName=NetDRV3_OUT2 Pin=STP3-4
Added Pin To Net: NetName=NetDRV3_OUT2 Pin=DRV3-10
Added Net: Name=NetDRV3_OUT2
Added Pin To Net: NetName=NetDRV3_OUT3 Pin=STP3-3
Added Pin To Net: NetName=NetDRV3_OUT3 Pin=DRV3-9
Added Net: Name=NetDRV3_OUT3
Added Pin To Net: NetName=NetDRV3_OUT4 Pin=STP3-5
Added Pin To Net: NetName=NetDRV3_OUT4 Pin=DRV3-8
Added Net: Name=NetDRV3_OUT4
Added Pin To Net: NetName=NetDRV4_IN1 Pin=PIHR-11
Added Pin To Net: NetName=NetDRV4_IN1 Pin=PIHR-12
Added Pin To Net: NetName=NetDRV4_IN1 Pin=DRV4-6
Added Net: Name=NetDRV4_IN1
Added Pin To Net: NetName=NetDRV4_IN2 Pin=PIHR-17
Added Pin To Net: NetName=NetDRV4_IN2 Pin=PIHR-18
Added Pin To Net: NetName=NetDRV4_IN2 Pin=DRV4-5
Added Net: Name=NetDRV4_IN2
Added Pin To Net: NetName=NetDRV4_IN3 Pin=PIHL-13
Added Pin To Net: NetName=NetDRV4_IN3 Pin=PIHL-14
Added Pin To Net: NetName=NetDRV4_IN3 Pin=DRV4-2
Added Net: Name=NetDRV4_IN3
Added Pin To Net: NetName=NetDRV4_IN4 Pin=PIHL-17
Added Pin To Net: NetName=NetDRV4_IN4 Pin=PIHL-18
Added Pin To Net: NetName=NetDRV4_IN4 Pin=DRV4-1
Added Net: Name=NetDRV4_IN4
Added Pin To Net: NetName=NetDRV4_OUT1 Pin=STP4-2
Added Pin To Net: NetName=NetDRV4_OUT1 Pin=DRV4-11
Added Net: Name=NetDRV4_OUT1
Added Pin To Net: NetName=NetDRV4_OUT2 Pin=STP4-4
Added Pin To Net: NetName=NetDRV4_OUT2 Pin=DRV4-10
Added Net: Name=NetDRV4_OUT2
Added Pin To Net: NetName=NetDRV4_OUT3 Pin=STP4-3
Added Pin To Net: NetName=NetDRV4_OUT3 Pin=DRV4-9
Added Net: Name=NetDRV4_OUT3
Added Pin To Net: NetName=NetDRV4_OUT4 Pin=STP4-5
Added Pin To Net: NetName=NetDRV4_OUT4 Pin=DRV4-8
Added Net: Name=NetDRV4_OUT4
Added Pin To Net: NetName=NetESPHL_1 Pin=ESPHL-1
Added Pin To Net: NetName=NetESPHL_1 Pin=ESPHL-2
Added Pin To Net: NetName=NetESPHL_1 Pin=PIHL-27
Added Pin To Net: NetName=NetESPHL_1 Pin=PIHL-28
Added Net: Name=NetESPHL_1
Added Pin To Net: NetName=NetESPHL_3 Pin=ESPHL-3
Added Pin To Net: NetName=NetESPHL_3 Pin=ESPHL-4
Added Pin To Net: NetName=NetESPHL_3 Pin=PIHL-29
Added Pin To Net: NetName=NetESPHL_3 Pin=PIHL-30
Added Net: Name=NetESPHL_3
Added Pin To Net: NetName=NetESPHL_7 Pin=ESPHL-7
Added Pin To Net: NetName=NetESPHL_7 Pin=ESPHL-8
Added Pin To Net: NetName=NetESPHL_7 Pin=LCD_Header-6
Added Pin To Net: NetName=NetESPHL_7 Pin=LCD_Header-12
Added Net: Name=NetESPHL_7
Added Pin To Net: NetName=NetESPHL_9 Pin=ESPHL-9
Added Pin To Net: NetName=NetESPHL_9 Pin=ESPHL-10
Added Pin To Net: NetName=NetESPHL_9 Pin=LCD_Header-7
Added Pin To Net: NetName=NetESPHL_9 Pin=LCD_Header-10
Added Net: Name=NetESPHL_9
Added Pin To Net: NetName=NetESPHL_11 Pin=ESPHL-11
Added Pin To Net: NetName=NetESPHL_11 Pin=ESPHL-12
Added Pin To Net: NetName=NetESPHL_11 Pin=LCD_Header-3
Added Net: Name=NetESPHL_11
Added Pin To Net: NetName=NetESPHL_21 Pin=ESPHL-21
Added Pin To Net: NetName=NetESPHL_21 Pin=ESPHL-22
Added Pin To Net: NetName=NetESPHL_21 Pin=HallEffect1-3
Added Pin To Net: NetName=NetESPHL_21 Pin=HER1-1
Added Net: Name=NetESPHL_21
Added Pin To Net: NetName=NetESPHL_23 Pin=ESPHL-23
Added Pin To Net: NetName=NetESPHL_23 Pin=ESPHL-24
Added Pin To Net: NetName=NetESPHL_23 Pin=HallEffect2-3
Added Pin To Net: NetName=NetESPHL_23 Pin=HER2-1
Added Net: Name=NetESPHL_23
Added Pin To Net: NetName=NetESPHL_27 Pin=ESPHL-27
Added Pin To Net: NetName=NetESPHL_27 Pin=ESPHL-28
Added Pin To Net: NetName=NetESPHL_27 Pin=HallEffect3-3
Added Pin To Net: NetName=NetESPHL_27 Pin=HER3-1
Added Net: Name=NetESPHL_27
Added Pin To Net: NetName=NetESPHL_35 Pin=ESPHL-35
Added Pin To Net: NetName=NetESPHL_35 Pin=ESPHL-36
Added Net: Name=NetESPHL_35
Added Pin To Net: NetName=NetESPHR_1 Pin=ESPHR-1
Added Pin To Net: NetName=NetESPHR_1 Pin=ESPHR-2
Added Net: Name=NetESPHR_1
Added Pin To Net: NetName=NetESPHR_7 Pin=ESPHR-7
Added Pin To Net: NetName=NetESPHR_7 Pin=ESPHR-8
Added Net: Name=NetESPHR_7
Added Pin To Net: NetName=NetESPHR_9 Pin=ESPHR-9
Added Pin To Net: NetName=NetESPHR_9 Pin=ESPHR-10
Added Net: Name=NetESPHR_9
Added Pin To Net: NetName=NetESPHR_11 Pin=ESPHR-11
Added Pin To Net: NetName=NetESPHR_11 Pin=ESPHR-12
Added Net: Name=NetESPHR_11
Added Pin To Net: NetName=NetESPHR_13 Pin=ESPHR-13
Added Pin To Net: NetName=NetESPHR_13 Pin=ESPHR-14
Added Pin To Net: NetName=NetESPHR_13 Pin=LED_Header-2
Added Net: Name=NetESPHR_13
Added Pin To Net: NetName=NetESPHR_17 Pin=ESPHR-17
Added Pin To Net: NetName=NetESPHR_17 Pin=ESPHR-18
Added Pin To Net: NetName=NetESPHR_17 Pin=LCD_Header-13
Added Net: Name=NetESPHR_17
Added Pin To Net: NetName=NetESPHR_19 Pin=ESPHR-19
Added Pin To Net: NetName=NetESPHR_19 Pin=ESPHR-20
Added Pin To Net: NetName=NetESPHR_19 Pin=LCD_Header-14
Added Net: Name=NetESPHR_19
Added Pin To Net: NetName=NetESPHR_21 Pin=ESPHR-21
Added Pin To Net: NetName=NetESPHR_21 Pin=ESPHR-22
Added Net: Name=NetESPHR_21
Added Pin To Net: NetName=NetESPHR_23 Pin=ESPHR-23
Added Pin To Net: NetName=NetESPHR_23 Pin=ESPHR-24
Added Pin To Net: NetName=NetESPHR_23 Pin=LCD_Header-11
Added Net: Name=NetESPHR_23
Added Pin To Net: NetName=NetESPHR_27 Pin=ESPHR-27
Added Pin To Net: NetName=NetESPHR_27 Pin=ESPHR-28
Added Pin To Net: NetName=NetESPHR_27 Pin=LCD_Header-8
Added Net: Name=NetESPHR_27
Added Pin To Net: NetName=NetESPHR_29 Pin=ESPHR-29
Added Pin To Net: NetName=NetESPHR_29 Pin=ESPHR-30
Added Pin To Net: NetName=NetESPHR_29 Pin=LCD_Header-4
Added Net: Name=NetESPHR_29
Added Pin To Net: NetName=NetESPHR_31 Pin=ESPHR-31
Added Pin To Net: NetName=NetESPHR_31 Pin=ESPHR-32
Added Pin To Net: NetName=NetESPHR_31 Pin=LCD_Header-5
Added Net: Name=NetESPHR_31
Added Pin To Net: NetName=NetESPHR_33 Pin=ESPHR-33
Added Pin To Net: NetName=NetESPHR_33 Pin=ESPHR-34
Added Net: Name=NetESPHR_33
Added Pin To Net: NetName=NetESPHR_37 Pin=ESPHR-37
Added Pin To Net: NetName=NetESPHR_37 Pin=ESPHR-38
Added Net: Name=NetESPHR_37
Added Pin To Net: NetName=NetESPHR_39 Pin=ESPHR-39
Added Pin To Net: NetName=NetESPHR_39 Pin=ESPHR-40
Added Net: Name=NetESPHR_39
Added Pin To Net: NetName=NetPIHL_1 Pin=PIHL-1
Added Pin To Net: NetName=NetPIHL_1 Pin=PIHL-2
Added Net: Name=NetPIHL_1
Added Pin To Net: NetName=NetPIHL_7 Pin=PIHL-7
Added Pin To Net: NetName=NetPIHL_7 Pin=PIHL-8
Added Net: Name=NetPIHL_7
Added Pin To Net: NetName=NetPIHL_9 Pin=PIHL-9
Added Pin To Net: NetName=NetPIHL_9 Pin=PIHL-10
Added Net: Name=NetPIHL_9
Added Pin To Net: NetName=NetPIHL_11 Pin=PIHL-11
Added Pin To Net: NetName=NetPIHL_11 Pin=PIHL-12
Added Net: Name=NetPIHL_11
Added Pin To Net: NetName=NetPIHL_19 Pin=PIHL-19
Added Pin To Net: NetName=NetPIHL_19 Pin=PIHL-20
Added Pin To Net: NetName=NetPIHL_19 Pin=TIR4-1
Added Pin To Net: NetName=NetPIHL_19 Pin=TR4-2
Added Net: Name=NetPIHL_19
Added Pin To Net: NetName=NetPIHL_21 Pin=PIHL-21
Added Pin To Net: NetName=NetPIHL_21 Pin=PIHL-22
Added Net: Name=NetPIHL_21
Added Pin To Net: NetName=NetPIHL_23 Pin=PIHL-23
Added Pin To Net: NetName=NetPIHL_23 Pin=PIHL-24
Added Pin To Net: NetName=NetPIHL_23 Pin=R1k_4-1
Added Pin To Net: NetName=NetPIHL_23 Pin=R2.2k_4-1
Added Net: Name=NetPIHL_23
Added Pin To Net: NetName=NetPIHL_31 Pin=PIHL-31
Added Pin To Net: NetName=NetPIHL_31 Pin=PIHL-32
Added Pin To Net: NetName=NetPIHL_31 Pin=TIR3-1
Added Pin To Net: NetName=NetPIHL_31 Pin=TR3-2
Added Net: Name=NetPIHL_31
Added Pin To Net: NetName=NetPIHL_33 Pin=PIHL-33
Added Pin To Net: NetName=NetPIHL_33 Pin=PIHL-34
Added Pin To Net: NetName=NetPIHL_33 Pin=R1k_3-1
Added Pin To Net: NetName=NetPIHL_33 Pin=R2.2k_3-1
Added Net: Name=NetPIHL_33
Added Pin To Net: NetName=NetPIHL_37 Pin=PIHL-37
Added Pin To Net: NetName=NetPIHL_37 Pin=PIHL-38
Added Pin To Net: NetName=NetPIHL_37 Pin=TIR2-1
Added Pin To Net: NetName=NetPIHL_37 Pin=TR2-2
Added Net: Name=NetPIHL_37
Added Pin To Net: NetName=NetPIHL_39 Pin=PIHL-39
Added Pin To Net: NetName=NetPIHL_39 Pin=PIHL-40
Added Pin To Net: NetName=NetPIHL_39 Pin=R1k_2-1
Added Pin To Net: NetName=NetPIHL_39 Pin=R2.2k_2-1
Added Net: Name=NetPIHL_39
Added Pin To Net: NetName=NetPIHR_13 Pin=PIHR-13
Added Pin To Net: NetName=NetPIHR_13 Pin=PIHR-14
Added Pin To Net: NetName=NetPIHR_13 Pin=R1k_1-1
Added Pin To Net: NetName=NetPIHR_13 Pin=R2.2k_1-1
Added Net: Name=NetPIHR_13
Added Pin To Net: NetName=NetPIHR_19 Pin=PIHR-19
Added Pin To Net: NetName=NetPIHR_19 Pin=PIHR-20
Added Pin To Net: NetName=NetPIHR_19 Pin=TIR1-1
Added Pin To Net: NetName=NetPIHR_19 Pin=TR1-2
Added Net: Name=NetPIHR_19
Added Pin To Net: NetName=NetPIM1_1 Pin=PIM1-1
Added Pin To Net: NetName=NetPIM1_1 Pin=PIM1-2
Added Pin To Net: NetName=NetPIM1_1 Pin=R1k_1-2
Added Net: Name=NetPIM1_1
Added Pin To Net: NetName=NetPIM1_3 Pin=PIM1-3
Added Pin To Net: NetName=NetPIM1_3 Pin=PIM1-4
Added Net: Name=NetPIM1_3
Added Pin To Net: NetName=NetPIM2_1 Pin=PIM2-1
Added Pin To Net: NetName=NetPIM2_1 Pin=PIM2-2
Added Pin To Net: NetName=NetPIM2_1 Pin=R1k_2-2
Added Net: Name=NetPIM2_1
Added Pin To Net: NetName=NetPIM2_3 Pin=PIM2-3
Added Pin To Net: NetName=NetPIM2_3 Pin=PIM2-4
Added Net: Name=NetPIM2_3
Added Pin To Net: NetName=NetPIM3_1 Pin=PIM3-1
Added Pin To Net: NetName=NetPIM3_1 Pin=PIM3-2
Added Pin To Net: NetName=NetPIM3_1 Pin=R1k_3-2
Added Net: Name=NetPIM3_1
Added Pin To Net: NetName=NetPIM3_3 Pin=PIM3-3
Added Pin To Net: NetName=NetPIM3_3 Pin=PIM3-4
Added Net: Name=NetPIM3_3
Added Pin To Net: NetName=NetPIM4_1 Pin=PIM4-1
Added Pin To Net: NetName=NetPIM4_1 Pin=PIM4-2
Added Pin To Net: NetName=NetPIM4_1 Pin=R1k_4-2
Added Net: Name=NetPIM4_1
Added Pin To Net: NetName=NetPIM4_3 Pin=PIM4-3
Added Pin To Net: NetName=NetPIM4_3 Pin=PIM4-4
Added Net: Name=NetPIM4_3
Add Class Member: Failed to add class member : Component RPI Pico2 RPI-PICO-MOD_SM
